date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:11	13419/13419	---M-Z	200	added ('OK')	text/html	etag:W/%225f284826-346b%22	https://ayeshafalak.github.io/portfolio/	C:/project/portfolio/ayeshafalak.github.io/portfolio/index.html	(from )
21:50:14	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	https://ayeshafalak.github.io/robots.txt		(from )
21:50:14	3118/3118	---M-Z	200	added ('OK')	text/css	etag:W/%225f284826-c2e%22	https://ayeshafalak.github.io/portfolio/style.css	C:/project/portfolio/ayeshafalak.github.io/portfolio/style.css	(from https://ayeshafalak.github.io/portfolio/)
21:50:15	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/project/portfolio/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://ayeshafalak.github.io/portfolio/)
21:50:18	121457/121457	---M-Z	200	added ('OK')	text/css	etag:%221550076100%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css	C:/project/portfolio/maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css	(from https://ayeshafalak.github.io/portfolio/)
21:50:19	89476/89476	---MC-	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/project/portfolio/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://ayeshafalak.github.io/portfolio/)
21:50:20	26053/26053	---M-Z	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/project/portfolio/unpkg.com/aos@2.3.1/dist/aos.css	(from https://ayeshafalak.github.io/portfolio/)
21:50:20	14239/14239	---M-Z	200	added ('OK')	application/javascript	etag:W/%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/project/portfolio/unpkg.com/aos@2.3.1/dist/aos.js	(from https://ayeshafalak.github.io/portfolio/)
21:50:20	39680/39680	---M-Z	200	added ('OK')	text/javascript	etag:%221550076106%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	C:/project/portfolio/maxcdn.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	(from https://ayeshafalak.github.io/portfolio/)
21:50:20	13419/13419	---M-Z	200	added ('OK')	text/html	etag:W/%225f284826-346b%22	https://ayeshafalak.github.io/portfolio/index.html	C:/project/portfolio/ayeshafalak.github.io/portfolio/index-2.html	(from https://ayeshafalak.github.io/portfolio/)
21:50:27	153501/153501	---M--	200	added ('OK')	image/jpeg	etag:%225f284826-2579d%22	https://ayeshafalak.github.io/portfolio/images/highqc.jpg	C:/project/portfolio/ayeshafalak.github.io/portfolio/images/highqc.jpg	(from https://ayeshafalak.github.io/portfolio/)
21:50:34	127405/127405	---M--	200	added ('OK')	image/jpeg	etag:%225f284826-1f1ad%22	https://ayeshafalak.github.io/portfolio/images/ct.jpg	C:/project/portfolio/ayeshafalak.github.io/portfolio/images/ct.jpg	(from https://ayeshafalak.github.io/portfolio/)
21:50:35	228338/228338	---M--	200	added ('OK')	image/jpeg	etag:%225f284826-37bf2%22	https://ayeshafalak.github.io/portfolio/images/ngoc.jpg	C:/project/portfolio/ayeshafalak.github.io/portfolio/images/ngoc.jpg	(from https://ayeshafalak.github.io/portfolio/)
21:50:56	374524/374524	---M--	200	added ('OK')	image/jpeg	etag:%225f284826-5b6fc%22	https://ayeshafalak.github.io/portfolio/images/rweb.jpg	C:/project/portfolio/ayeshafalak.github.io/portfolio/images/rweb.jpg	(from https://ayeshafalak.github.io/portfolio/)
21:50:59	322677/322677	---M--	200	added ('OK')	image/jpeg	etag:%225f284826-4ec75%22	https://ayeshafalak.github.io/portfolio/images/sql.jpg	C:/project/portfolio/ayeshafalak.github.io/portfolio/images/sql.jpg	(from https://ayeshafalak.github.io/portfolio/)
21:51:22	357435/357435	---M--	200	added ('OK')	image/jpeg	etag:%225f284826-5743b%22	https://ayeshafalak.github.io/portfolio/images/gd.jpg	C:/project/portfolio/ayeshafalak.github.io/portfolio/images/gd.jpg	(from https://ayeshafalak.github.io/portfolio/)
21:51:41	313114/313114	---M--	200	added ('OK')	image/jpeg	etag:%225f284826-4c71a%22	https://ayeshafalak.github.io/portfolio/images/python.jpg	C:/project/portfolio/ayeshafalak.github.io/portfolio/images/python.jpg	(from https://ayeshafalak.github.io/portfolio/)
21:52:04	309451/309451	---M--	200	added ('OK')	image/jpeg	etag:%225f284826-4b8cb%22	https://ayeshafalak.github.io/portfolio/images/ml.jpg	C:/project/portfolio/ayeshafalak.github.io/portfolio/images/ml.jpg	(from https://ayeshafalak.github.io/portfolio/)
21:52:24	319530/319530	---M--	200	added ('OK')	image/jpeg	etag:%225f284826-4e02a%22	https://ayeshafalak.github.io/portfolio/images/ai.jpg	C:/project/portfolio/ayeshafalak.github.io/portfolio/images/ai.jpg	(from https://ayeshafalak.github.io/portfolio/)
21:52:37	336320/336320	---M--	200	added ('OK')	image/jpeg	etag:%225f284826-521c0%22	https://ayeshafalak.github.io/portfolio/images/js.jpg	C:/project/portfolio/ayeshafalak.github.io/portfolio/images/js.jpg	(from https://ayeshafalak.github.io/portfolio/)
